type,name,pruned_on,sparsity,module,activation_diff
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.6.self_attn.o_proj,1.0614
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.6.post_attention_layernorm,15.8277
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.6.mlp.gate_proj,28.3600
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.6.mlp.up_proj,21.0544
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.6.mlp.down_proj,2.7682
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.7.input_layernorm,22.2166
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.7.self_attn.q_proj,29.9030
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.7.self_attn.k_proj,25.9056
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.7.self_attn.v_proj,5.6964
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.7.self_attn.o_proj,0.8466
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.7.post_attention_layernorm,14.9244
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.7.mlp.gate_proj,26.1072
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.7.mlp.up_proj,19.8478
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.7.mlp.down_proj,2.9037
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.8.input_layernorm,23.7904
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.8.self_attn.q_proj,34.6126
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.8.self_attn.k_proj,28.7974
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.8.self_attn.v_proj,5.8980
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.8.self_attn.o_proj,0.8366
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.8.post_attention_layernorm,15.2534
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.8.mlp.gate_proj,25.7552
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.8.mlp.up_proj,19.8381
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.8.mlp.down_proj,2.7071
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.9.input_layernorm,22.4062
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.9.self_attn.q_proj,29.2265
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.9.self_attn.k_proj,27.2446
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.9.self_attn.v_proj,7.3285
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.9.self_attn.o_proj,0.8441
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.9.post_attention_layernorm,14.9513
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.9.mlp.gate_proj,26.2182
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.9.mlp.up_proj,20.3386
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.9.mlp.down_proj,2.9015
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.10.input_layernorm,25.5442
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.10.self_attn.q_proj,37.9392
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.10.self_attn.k_proj,33.1000
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.10.self_attn.v_proj,6.2161
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.10.self_attn.o_proj,0.8213
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.10.post_attention_layernorm,15.6670
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.10.mlp.gate_proj,26.1623
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.10.mlp.up_proj,21.1276
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.10.mlp.down_proj,2.8297
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.11.input_layernorm,24.9662
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.11.self_attn.q_proj,33.3693
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.11.self_attn.k_proj,32.4406
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.11.self_attn.v_proj,6.9088
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.11.self_attn.o_proj,1.0346
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.11.post_attention_layernorm,16.2651
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.11.mlp.gate_proj,26.3479
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.11.mlp.up_proj,21.8434
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.11.mlp.down_proj,3.0752
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.12.input_layernorm,22.8744
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.12.self_attn.q_proj,26.5415
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.12.self_attn.k_proj,23.6170
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.12.self_attn.v_proj,7.3774
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.12.self_attn.o_proj,1.2217
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.12.post_attention_layernorm,16.2933
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.12.mlp.gate_proj,27.2222
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.12.mlp.up_proj,22.6361
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.12.mlp.down_proj,3.4752
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.13.input_layernorm,27.1348
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.13.self_attn.q_proj,32.3668
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.13.self_attn.k_proj,32.5763
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.13.self_attn.v_proj,7.4930
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.13.self_attn.o_proj,0.9073
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.13.post_attention_layernorm,17.2497
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.13.mlp.gate_proj,29.5528
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.13.mlp.up_proj,24.0775
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.13.mlp.down_proj,4.2937
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.14.input_layernorm,28.1800
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.14.self_attn.q_proj,33.3892
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.14.self_attn.k_proj,35.4397
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.14.self_attn.v_proj,9.5839
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.14.self_attn.o_proj,1.5348
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.14.post_attention_layernorm,18.9248
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.14.mlp.gate_proj,35.6737
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.14.mlp.up_proj,26.4389
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.14.mlp.down_proj,4.2514
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.15.input_layernorm,27.9330
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.15.self_attn.q_proj,35.6645
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.15.self_attn.k_proj,29.2645
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.15.self_attn.v_proj,9.3066
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.15.self_attn.o_proj,1.4562
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.15.post_attention_layernorm,19.5108
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.15.mlp.gate_proj,36.6430
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.15.mlp.up_proj,27.7258
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.15.mlp.down_proj,4.5995
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.16.input_layernorm,28.7124
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.16.self_attn.q_proj,32.7550
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.16.self_attn.k_proj,31.0011
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.16.self_attn.v_proj,9.0673
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.16.self_attn.o_proj,1.9489
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.16.post_attention_layernorm,20.6335
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.16.mlp.gate_proj,38.5838
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.16.mlp.up_proj,28.8493
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.16.mlp.down_proj,4.8759
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.17.input_layernorm,27.6369
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.17.self_attn.q_proj,29.3690
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.17.self_attn.k_proj,32.8327
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.17.self_attn.v_proj,8.4297
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.17.self_attn.o_proj,1.5041
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.17.post_attention_layernorm,20.1086
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.17.mlp.gate_proj,38.2210
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.17.mlp.up_proj,28.4327
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.17.mlp.down_proj,4.5952
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.18.input_layernorm,27.5789
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.18.self_attn.q_proj,28.8616
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.18.self_attn.k_proj,33.8644
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.18.self_attn.v_proj,10.1409
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.18.self_attn.o_proj,0.6664
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.18.post_attention_layernorm,19.3561
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.18.mlp.gate_proj,36.3771
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.18.mlp.up_proj,27.3289
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.18.mlp.down_proj,4.2831
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.19.input_layernorm,26.1352
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.19.self_attn.q_proj,27.5431
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.19.self_attn.k_proj,28.2710
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.19.self_attn.v_proj,9.3046
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.19.self_attn.o_proj,1.4988
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.19.post_attention_layernorm,18.8477
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.19.mlp.gate_proj,37.0677
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.19.mlp.up_proj,27.0312
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.19.mlp.down_proj,4.4167
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.20.input_layernorm,26.4484
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.20.self_attn.q_proj,27.6201
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.20.self_attn.k_proj,29.8994
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.20.self_attn.v_proj,9.2958
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.20.self_attn.o_proj,1.1234
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.20.post_attention_layernorm,18.6264
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.20.mlp.gate_proj,36.2353
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.20.mlp.up_proj,26.8199
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.20.mlp.down_proj,3.5423
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.21.input_layernorm,25.0138
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.21.self_attn.q_proj,26.8844
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.21.self_attn.k_proj,27.4173
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.21.self_attn.v_proj,8.9393
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.21.self_attn.o_proj,1.2026
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.21.post_attention_layernorm,18.4570
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.21.mlp.gate_proj,37.3312
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.21.mlp.up_proj,27.1487
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.21.mlp.down_proj,3.6004
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.22.input_layernorm,24.7707
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.22.self_attn.q_proj,24.7161
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.22.self_attn.k_proj,28.9169
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.22.self_attn.v_proj,10.3983
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.22.self_attn.o_proj,0.9730
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.22.post_attention_layernorm,17.9479
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.22.mlp.gate_proj,36.1326
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.22.mlp.up_proj,26.4471
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.22.mlp.down_proj,3.3545
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.23.input_layernorm,23.3638
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.23.self_attn.q_proj,24.5859
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.23.self_attn.k_proj,23.9792
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.23.self_attn.v_proj,9.5477
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.23.self_attn.o_proj,1.0168
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.23.post_attention_layernorm,17.8471
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.23.mlp.gate_proj,35.4150
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.23.mlp.up_proj,26.0885
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.23.mlp.down_proj,3.2783
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.24.input_layernorm,23.9776
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.24.self_attn.q_proj,25.7737
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.24.self_attn.k_proj,24.5299
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.24.self_attn.v_proj,11.9736
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.24.self_attn.o_proj,2.0789
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.24.post_attention_layernorm,18.1666
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.24.mlp.gate_proj,35.9698
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.24.mlp.up_proj,26.5696
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.24.mlp.down_proj,3.3022
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.25.input_layernorm,23.4318
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.25.self_attn.q_proj,25.3334
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.25.self_attn.k_proj,21.6047
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.25.self_attn.v_proj,11.8119
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.25.self_attn.o_proj,1.2095
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.25.post_attention_layernorm,18.0848
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.25.mlp.gate_proj,36.0733
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.25.mlp.up_proj,27.1141
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.25.mlp.down_proj,3.7454
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.26.input_layernorm,22.5954
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.26.self_attn.q_proj,25.3866
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.26.self_attn.k_proj,25.1994
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.26.self_attn.v_proj,10.4180
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.26.self_attn.o_proj,2.0028
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.26.post_attention_layernorm,18.9033
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.26.mlp.gate_proj,38.2389
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.26.mlp.up_proj,28.5384
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.26.mlp.down_proj,4.0382
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.27.input_layernorm,23.8688
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.27.self_attn.q_proj,26.0836
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.27.self_attn.k_proj,27.0489
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.27.self_attn.v_proj,15.4944
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.27.self_attn.o_proj,3.2059
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.27.post_attention_layernorm,18.6326
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.27.mlp.gate_proj,38.0306
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.27.mlp.up_proj,28.4284
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.27.mlp.down_proj,4.7756
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.28.input_layernorm,22.3265
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.28.self_attn.q_proj,25.2615
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.28.self_attn.k_proj,23.8610
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.28.self_attn.v_proj,10.5179
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.28.self_attn.o_proj,2.5202
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.28.post_attention_layernorm,19.8373
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.28.mlp.gate_proj,40.3938
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.28.mlp.up_proj,30.6416
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.28.mlp.down_proj,5.3826
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.29.input_layernorm,22.7964
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.29.self_attn.q_proj,30.0045
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.29.self_attn.k_proj,23.7892
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.29.self_attn.v_proj,13.0388
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.29.self_attn.o_proj,4.0025
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.29.post_attention_layernorm,20.3038
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.29.mlp.gate_proj,43.3412
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.29.mlp.up_proj,33.3358
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.29.mlp.down_proj,7.4143
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.30.input_layernorm,23.2297
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.30.self_attn.q_proj,28.4104
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.30.self_attn.k_proj,26.7071
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.30.self_attn.v_proj,17.0871
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.30.self_attn.o_proj,5.3011
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.30.post_attention_layernorm,20.2004
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.30.mlp.gate_proj,45.9985
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.30.mlp.up_proj,34.8602
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.30.mlp.down_proj,12.1084
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.31.input_layernorm,19.0792
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.31.self_attn.q_proj,25.3350
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.31.self_attn.k_proj,20.8072
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.31.self_attn.v_proj,13.0580
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.31.self_attn.o_proj,7.4200
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.31.post_attention_layernorm,16.8591
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.31.mlp.gate_proj,48.5850
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.31.mlp.up_proj,35.6855
