type,name,pruned_on,sparsity,module,mean,std,min,max
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.11.self_attn.q_proj,-0.0401,0.9051,-7.4219,6.1758
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.11.self_attn.k_proj,0.0137,1.5920,-12.7109,12.8047
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.11.self_attn.v_proj,0.0057,0.2210,-1.3086,1.4902
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.11.self_attn.o_proj,0.0003,0.0267,-0.2484,0.5845
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.11.post_attention_layernorm,0.0002,0.2679,-8.8906,9.1953
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.11.mlp.gate_proj,-0.1944,0.2979,-2.8516,2.3379
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.11.mlp.up_proj,0.0005,0.2170,-4.1055,3.4727
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.11.mlp.down_proj,0.0005,0.0482,-0.9199,0.4561
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.12.input_layernorm,0.0031,0.3955,-5.9688,5.7422
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.12.self_attn.q_proj,0.0413,0.9788,-8.1797,8.7031
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.12.self_attn.k_proj,-0.0217,1.7141,-13.2500,10.9062
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.12.self_attn.v_proj,-0.0033,0.2123,-1.3408,1.2803
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.12.self_attn.o_proj,0.0005,0.0324,-0.3503,0.8438
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.12.post_attention_layernorm,0.0026,0.2738,-9.8594,9.7266
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.12.mlp.gate_proj,-0.1907,0.3220,-3.1152,2.2305
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.12.mlp.up_proj,0.0019,0.2334,-3.3730,2.3789
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.12.mlp.down_proj,-0.0003,0.0523,-0.5903,1.3545
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.13.input_layernorm,0.0031,0.4480,-7.2305,7.3789
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.13.self_attn.q_proj,-0.0054,0.8287,-8.2422,6.3398
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.13.self_attn.k_proj,-0.0241,1.5682,-11.4766,10.2969
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.13.self_attn.v_proj,0.0031,0.2239,-1.3867,1.3799
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.13.self_attn.o_proj,-0.0000,0.0260,-1.2646,0.7939
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.13.post_attention_layernorm,0.0016,0.2776,-9.4453,8.5547
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.13.mlp.gate_proj,-0.2099,0.3220,-8.6719,3.1191
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.13.mlp.up_proj,-0.0004,0.2292,-3.8711,4.4609
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.13.mlp.down_proj,-0.0003,0.0551,-0.3083,1.1523
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.14.input_layernorm,0.0014,0.4641,-7.6641,6.8398
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.14.self_attn.q_proj,0.0423,0.9057,-7.3008,8.3359
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.14.self_attn.k_proj,0.0107,1.7317,-11.7734,13.1875
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.14.self_attn.v_proj,-0.0053,0.2479,-1.3799,1.3262
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.14.self_attn.o_proj,0.0008,0.0303,-0.2141,0.2339
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.14.post_attention_layernorm,0.0026,0.2924,-9.7266,8.6328
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.14.mlp.gate_proj,-0.2391,0.3654,-6.1758,3.1230
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.14.mlp.up_proj,0.0010,0.2319,-2.1387,1.9893
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.14.mlp.down_proj,0.0001,0.0596,-0.4519,0.4294
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.15.input_layernorm,0.0045,0.4385,-6.0312,6.2734
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.15.self_attn.q_proj,-0.0067,0.9717,-8.5547,7.0352
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.15.self_attn.k_proj,-0.0076,1.6232,-11.8750,10.8594
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.15.self_attn.v_proj,-0.0021,0.2535,-1.4639,1.6162
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.15.self_attn.o_proj,-0.0004,0.0297,-0.3813,0.3286
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.15.post_attention_layernorm,0.0019,0.3003,-9.2344,7.3008
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.15.mlp.gate_proj,-0.2814,0.3756,-5.5977,6.0703
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.15.mlp.up_proj,-0.0002,0.2350,-2.2812,2.2520
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.15.mlp.down_proj,-0.0012,0.0640,-0.4236,1.4111
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.16.input_layernorm,-0.0007,0.4528,-6.4609,6.5117
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.16.self_attn.q_proj,-0.0123,0.9803,-7.2617,8.8438
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.16.self_attn.k_proj,-0.0285,1.6927,-12.0938,15.0312
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.16.self_attn.v_proj,-0.0041,0.2630,-1.4131,1.7031
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.16.self_attn.o_proj,-0.0002,0.0356,-1.1650,0.5811
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.16.post_attention_layernorm,-0.0004,0.3047,-8.9062,6.6211
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.16.mlp.gate_proj,-0.2726,0.3704,-5.1562,8.0547
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.16.mlp.up_proj,-0.0018,0.2355,-3.3555,2.5156
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.16.mlp.down_proj,-0.0004,0.0719,-0.8906,2.1934
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.17.input_layernorm,-0.0025,0.4346,-6.2266,5.7266
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.17.self_attn.q_proj,0.0226,0.9757,-8.5469,8.9766
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.17.self_attn.k_proj,0.0257,1.5603,-10.0156,11.6094
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.17.self_attn.v_proj,-0.0014,0.2471,-1.3457,1.5371
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.17.self_attn.o_proj,0.0000,0.0312,-1.1836,0.4944
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.17.post_attention_layernorm,-0.0013,0.3070,-8.3203,5.7070
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.17.mlp.gate_proj,-0.2762,0.3694,-4.5547,5.7422
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.17.mlp.up_proj,-0.0002,0.2389,-2.0684,2.6621
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.17.mlp.down_proj,-0.0004,0.0782,-2.5098,1.2188
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.18.input_layernorm,-0.0024,0.4429,-6.0703,5.7070
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.18.self_attn.q_proj,0.0270,0.9172,-6.6328,11.1641
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.18.self_attn.k_proj,0.0719,1.6099,-10.8984,12.2891
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.18.self_attn.v_proj,-0.0033,0.2924,-2.6074,1.5225
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.18.self_attn.o_proj,0.0003,0.0196,-0.3542,0.5820
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.18.post_attention_layernorm,-0.0008,0.3015,-7.5078,5.3672
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.18.mlp.gate_proj,-0.2505,0.3441,-5.0742,5.9570
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.18.mlp.up_proj,0.0001,0.2321,-3.3867,2.7520
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.18.mlp.down_proj,-0.0001,0.0713,-2.3047,2.7188
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.19.input_layernorm,-0.0013,0.4363,-5.9219,5.6953
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.19.self_attn.q_proj,0.0121,0.9265,-7.0547,9.4766
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.19.self_attn.k_proj,-0.0122,1.4842,-12.7188,11.1328
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.19.self_attn.v_proj,0.0013,0.3050,-1.8564,2.1914
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.19.self_attn.o_proj,-0.0006,0.0246,-0.4543,0.8184
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.19.post_attention_layernorm,-0.0016,0.2981,-7.9961,5.4023
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.19.mlp.gate_proj,-0.2308,0.3329,-4.5898,5.1914
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.19.mlp.up_proj,0.0002,0.2252,-1.9404,1.9443
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.19.mlp.down_proj,-0.0002,0.0657,-2.3887,0.4395
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.20.input_layernorm,-0.0026,0.4446,-6.5234,6.4453
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.20.self_attn.q_proj,0.0154,0.8793,-7.4844,8.5078
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.20.self_attn.k_proj,0.0170,1.5209,-10.8281,11.3281
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.20.self_attn.v_proj,0.0024,0.3009,-1.5361,1.5068
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.20.self_attn.o_proj,0.0002,0.0286,-0.6172,1.2207
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.20.post_attention_layernorm,-0.0010,0.2971,-8.1328,5.6719
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.20.mlp.gate_proj,-0.2134,0.3244,-3.9180,4.1875
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.20.mlp.up_proj,-0.0000,0.2245,-2.9590,3.0488
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.20.mlp.down_proj,0.0004,0.0614,-1.9121,0.7700
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.21.input_layernorm,-0.0006,0.4348,-6.2109,6.5430
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.21.self_attn.q_proj,-0.0157,0.9919,-10.5859,13.7109
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.21.self_attn.k_proj,0.0168,1.5046,-13.5156,9.9922
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.21.self_attn.v_proj,0.0024,0.3024,-2.1680,1.8428
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.21.self_attn.o_proj,-0.0003,0.0325,-0.6704,0.6357
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.21.post_attention_layernorm,-0.0003,0.3081,-7.8555,6.1250
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.21.mlp.gate_proj,-0.2375,0.3424,-4.0234,6.4570
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.21.mlp.up_proj,-0.0011,0.2348,-4.1094,2.4219
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.21.mlp.down_proj,-0.0005,0.0702,-2.0762,0.4297
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.22.input_layernorm,-0.0007,0.4453,-6.9102,7.0469
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.22.self_attn.q_proj,-0.0160,0.9364,-14.8750,11.9844
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.22.self_attn.k_proj,-0.0285,1.4923,-11.6094,10.4766
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.22.self_attn.v_proj,-0.0033,0.3469,-2.0117,2.3203
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.22.self_attn.o_proj,-0.0003,0.0282,-0.9531,0.8076
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.22.post_attention_layernorm,-0.0003,0.2999,-8.3047,5.7852
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.22.mlp.gate_proj,-0.2210,0.3189,-3.9531,4.8555
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.22.mlp.up_proj,0.0003,0.2231,-1.9004,2.5215
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.22.mlp.down_proj,-0.0002,0.0600,-1.8848,0.2930
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.23.input_layernorm,-0.0008,0.4253,-5.8359,6.1797
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.23.self_attn.q_proj,0.0283,0.9297,-13.2344,12.7031
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.23.self_attn.k_proj,-0.0010,1.4195,-9.9609,13.5000
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.23.self_attn.v_proj,0.0050,0.3379,-1.9326,2.2598
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.23.self_attn.o_proj,-0.0009,0.0275,-0.7183,0.4551
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.23.post_attention_layernorm,-0.0012,0.3020,-7.8984,5.9375
