type,name,pruned_on,sparsity,layer,mean,std,min,max,l2_norm,total_params,nonzero_params
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.3.input_layernorm.weight,0.3462,0.0358,0.0024,0.6445,22.2752,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.3.post_attention_layernorm.weight,0.2334,0.0278,-0.0001,0.2617,15.0454,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.4.self_attn.q_proj.weight,-0.0000,0.0185,-0.3223,0.3301,75.7765,16777216,12582906
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.4.self_attn.k_proj.weight,-0.0000,0.0275,-0.3359,0.3359,56.2485,4194304,3145728
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.4.self_attn.v_proj.weight,-0.0000,0.0093,-0.0732,0.0742,19.0315,4194304,3145725
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.4.self_attn.o_proj.weight,-0.0000,0.0101,-0.3574,0.2754,41.5425,16777216,12582901
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.4.mlp.gate_proj.weight,-0.0000,0.0146,-0.3164,0.3926,112.0396,58720256,44040168
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.4.mlp.up_proj.weight,-0.0000,0.0114,-0.2852,0.3047,87.4028,58720256,44040180
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.4.mlp.down_proj.weight,0.0000,0.0114,-0.6562,0.5078,87.1498,58720256,44040188
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.4.input_layernorm.weight,0.3062,0.0523,-0.0222,0.7031,19.8780,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.4.post_attention_layernorm.weight,0.2563,0.0257,0.0000,0.2793,16.4830,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.5.self_attn.q_proj.weight,-0.0000,0.0184,-0.2578,0.2236,75.4862,16777216,12582909
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.5.self_attn.k_proj.weight,-0.0000,0.0275,-0.4980,0.5273,56.4197,4194304,3145726
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.5.self_attn.v_proj.weight,-0.0000,0.0078,-0.1069,0.1357,15.9046,4194304,3145728
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.5.self_attn.o_proj.weight,0.0000,0.0094,-0.3477,0.2871,38.4425,16777216,12582907
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.5.mlp.gate_proj.weight,0.0000,0.0146,-0.4180,0.3086,111.8311,58720256,44040178
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.5.mlp.up_proj.weight,0.0000,0.0115,-0.3555,0.4277,87.9122,58720256,44040189
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.5.mlp.down_proj.weight,-0.0000,0.0114,-0.6016,0.5820,87.5516,58720256,44040188
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.5.input_layernorm.weight,0.3550,0.0709,0.0811,0.8203,23.1702,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.5.post_attention_layernorm.weight,0.2760,0.0281,-0.0000,0.3066,17.7530,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.6.self_attn.q_proj.weight,0.0000,0.0188,-0.2480,0.2734,76.9323,16777216,12582906
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.6.self_attn.k_proj.weight,-0.0000,0.0275,-0.2871,0.2656,56.3970,4194304,3145728
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.6.self_attn.v_proj.weight,0.0000,0.0084,-0.0522,0.0596,17.2202,4194304,3145728
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.6.self_attn.o_proj.weight,0.0000,0.0098,-0.3594,0.6953,40.2080,16777216,12582907
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.6.mlp.gate_proj.weight,0.0000,0.0146,-0.3203,0.4668,112.2121,58720256,44040192
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.6.mlp.up_proj.weight,0.0000,0.0115,-0.2168,0.3008,87.8821,58720256,44040189
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.6.mlp.down_proj.weight,-0.0000,0.0114,-0.6602,0.5469,87.4886,58720256,44040183
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.6.input_layernorm.weight,0.3558,0.0505,0.0879,0.7969,23.0024,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.6.post_attention_layernorm.weight,0.2857,0.0263,-0.0001,0.3301,18.3621,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.7.self_attn.q_proj.weight,-0.0000,0.0181,-0.2539,0.2305,74.0205,16777216,12582907
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.7.self_attn.k_proj.weight,0.0000,0.0278,-0.2676,0.2236,56.8845,4194304,3145728
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.7.self_attn.v_proj.weight,0.0000,0.0083,-0.0581,0.0781,17.0040,4194304,3145728
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.7.self_attn.o_proj.weight,-0.0000,0.0100,-0.2773,0.3184,40.8518,16777216,12582911
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.7.mlp.gate_proj.weight,0.0000,0.0144,-0.3027,0.4102,110.1816,58720256,44040190
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.7.mlp.up_proj.weight,-0.0000,0.0116,-0.2871,0.2754,88.9908,58720256,44040180
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.7.mlp.down_proj.weight,0.0000,0.0116,-0.6406,0.5195,88.6522,58720256,44040189
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.7.input_layernorm.weight,0.3672,0.0456,0.0918,0.8633,23.6805,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.7.post_attention_layernorm.weight,0.2874,0.0255,0.0386,0.3223,18.4636,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.8.self_attn.q_proj.weight,-0.0000,0.0181,-0.4531,0.4043,74.0431,16777216,12582912
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.8.self_attn.k_proj.weight,-0.0000,0.0273,-0.4551,0.4414,56.0108,4194304,3145725
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.8.self_attn.v_proj.weight,-0.0000,0.0088,-0.0693,0.0854,17.9361,4194304,3145726
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.8.self_attn.o_proj.weight,-0.0000,0.0102,-0.3926,0.3887,41.7217,16777216,12582910
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.8.mlp.gate_proj.weight,-0.0000,0.0144,-0.3262,0.3008,110.4975,58720256,44040190
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.8.mlp.up_proj.weight,-0.0000,0.0116,-0.2930,0.2773,88.6928,58720256,44040191
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.8.mlp.down_proj.weight,-0.0000,0.0115,-0.6406,0.7344,88.4844,58720256,44040190
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.8.input_layernorm.weight,0.3941,0.0526,0.1279,0.9414,25.4439,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.8.post_attention_layernorm.weight,0.2924,0.0280,0.0000,0.3594,18.7975,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.9.self_attn.q_proj.weight,-0.0000,0.0180,-0.2148,0.2490,73.9325,16777216,12582905
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.9.self_attn.k_proj.weight,-0.0000,0.0272,-0.2891,0.3691,55.7232,4194304,3145728
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.9.self_attn.v_proj.weight,0.0000,0.0101,-0.0977,0.0840,20.7780,4194304,3145727
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.9.self_attn.o_proj.weight,0.0000,0.0109,-0.3574,0.2852,44.6157,16777216,12582904
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.9.mlp.gate_proj.weight,0.0000,0.0146,-0.3184,0.4805,111.8307,58720256,44040183
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.9.mlp.up_proj.weight,-0.0000,0.0117,-0.3047,0.2070,89.5753,58720256,44040190
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.9.mlp.down_proj.weight,0.0000,0.0116,-0.7070,0.6523,88.8043,58720256,44040188
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.9.input_layernorm.weight,0.3995,0.0586,0.1348,0.9492,25.8383,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.9.post_attention_layernorm.weight,0.2937,0.0282,0.0664,0.4004,18.8827,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.10.self_attn.q_proj.weight,0.0000,0.0184,-0.3789,0.3652,75.2463,16777216,12582910
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.10.self_attn.k_proj.weight,0.0000,0.0275,-0.4375,0.3750,56.4109,4194304,3145728
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.10.self_attn.v_proj.weight,0.0000,0.0088,-0.0645,0.0605,17.9576,4194304,3145728
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.10.self_attn.o_proj.weight,-0.0000,0.0101,-0.4062,0.5156,41.3567,16777216,12582912
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.10.mlp.gate_proj.weight,-0.0000,0.0143,-0.2754,0.3457,109.2597,58720256,44040174
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.10.mlp.up_proj.weight,0.0000,0.0119,-0.2461,0.2402,90.8746,58720256,44040163
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.10.mlp.down_proj.weight,-0.0000,0.0117,-0.7070,0.5078,90.0010,58720256,44040184
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.10.input_layernorm.weight,0.4148,0.0585,0.1123,1.0078,26.8118,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.10.post_attention_layernorm.weight,0.2982,0.0318,0.0669,0.3867,19.1910,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.11.self_attn.q_proj.weight,-0.0000,0.0175,-0.1504,0.2021,71.6249,16777216,12582912
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.11.self_attn.k_proj.weight,-0.0000,0.0273,-0.2910,0.3125,55.8173,4194304,3145727
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.11.self_attn.v_proj.weight,0.0000,0.0086,-0.0723,0.0684,17.6330,4194304,3145726
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.11.self_attn.o_proj.weight,-0.0000,0.0102,-0.2773,0.2637,41.9839,16777216,12582909
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.11.mlp.gate_proj.weight,-0.0000,0.0141,-0.3867,0.3750,107.8577,58720256,44040172
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.11.mlp.up_proj.weight,0.0000,0.0119,-0.2314,0.1904,91.4064,58720256,44040170
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.11.mlp.down_proj.weight,0.0000,0.0118,-0.5039,0.5938,90.6198,58720256,44040188
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.11.input_layernorm.weight,0.4216,0.0626,0.1367,1.0625,27.2748,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.11.post_attention_layernorm.weight,0.3024,0.0284,0.0854,0.3848,19.4365,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.12.self_attn.q_proj.weight,0.0000,0.0177,-0.2520,0.2109,72.3738,16777216,12582907
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.12.self_attn.k_proj.weight,-0.0000,0.0266,-0.2227,0.2305,54.4203,4194304,3145728
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.12.self_attn.v_proj.weight,-0.0000,0.0101,-0.0679,0.0977,20.6858,4194304,3145728
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.12.self_attn.o_proj.weight,-0.0000,0.0109,-0.3516,0.4590,44.5557,16777216,12582912
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.12.mlp.gate_proj.weight,-0.0000,0.0139,-0.4258,0.4238,106.5753,58720256,44040180
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.12.mlp.up_proj.weight,0.0000,0.0121,-0.2773,0.3281,93.1228,58720256,44040183
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.12.mlp.down_proj.weight,-0.0000,0.0120,-0.9141,0.7266,91.9218,58720256,44040184
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.12.input_layernorm.weight,0.3927,0.0562,0.1230,0.9180,25.3884,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.12.post_attention_layernorm.weight,0.2995,0.0220,0.0684,0.4043,19.2199,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.13.self_attn.q_proj.weight,-0.0000,0.0178,-0.1777,0.1670,73.0735,16777216,12582910
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.13.self_attn.k_proj.weight,0.0000,0.0273,-0.3926,0.3066,55.9978,4194304,3145727
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.13.self_attn.v_proj.weight,0.0000,0.0094,-0.0742,0.0996,19.2626,4194304,3145728
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.13.self_attn.o_proj.weight,-0.0000,0.0106,-0.7773,0.4727,43.5613,16777216,12582912
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.13.mlp.gate_proj.weight,-0.0000,0.0139,-0.3926,0.4844,106.6617,58720256,44040181
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.13.mlp.up_proj.weight,-0.0000,0.0122,-0.2832,0.3652,93.5019,58720256,44040192
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.13.mlp.down_proj.weight,-0.0000,0.0120,-0.7422,0.9102,91.9795,58720256,44040191
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.13.input_layernorm.weight,0.4510,0.0708,0.1206,1.0078,29.2202,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.13.post_attention_layernorm.weight,0.3103,0.0207,0.0864,0.4473,19.9057,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.14.self_attn.q_proj.weight,-0.0000,0.0175,-0.3320,0.3359,71.6337,16777216,12582909
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.14.self_attn.k_proj.weight,-0.0000,0.0271,-0.3730,0.3535,55.4776,4194304,3145726
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.14.self_attn.v_proj.weight,-0.0000,0.0093,-0.0771,0.0879,19.0841,4194304,3145728
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.14.self_attn.o_proj.weight,-0.0000,0.0106,-0.2207,0.2031,43.4131,16777216,12582909
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.14.mlp.gate_proj.weight,-0.0000,0.0142,-0.3809,0.4883,109.0138,58720256,44040192
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.14.mlp.up_proj.weight,0.0000,0.0122,-0.4570,0.3613,93.2877,58720256,44040187
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.14.mlp.down_proj.weight,-0.0000,0.0120,-0.8203,0.4531,91.8790,58720256,44040187
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.14.input_layernorm.weight,0.4469,0.0597,0.1216,1.0078,28.8540,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.14.post_attention_layernorm.weight,0.3270,0.0190,0.0708,0.4453,20.9636,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.15.self_attn.q_proj.weight,-0.0000,0.0191,-0.4297,0.3965,78.4017,16777216,12582904
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.15.self_attn.k_proj.weight,-0.0000,0.0266,-0.4004,0.3301,54.4657,4194304,3145728
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.15.self_attn.v_proj.weight,-0.0000,0.0102,-0.1416,0.1226,20.7928,4194304,3145727
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.15.self_attn.o_proj.weight,-0.0000,0.0110,-0.4668,0.4316,45.0038,16777216,12582908
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.15.mlp.gate_proj.weight,-0.0001,0.0145,-0.3789,0.3809,111.5173,58720256,44040177
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.15.mlp.up_proj.weight,0.0000,0.0121,-0.2812,0.2734,92.7421,58720256,44040162
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.15.mlp.down_proj.weight,0.0000,0.0120,-0.6328,0.5664,91.6397,58720256,44040186
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.15.input_layernorm.weight,0.4458,0.0438,0.1079,0.9570,28.6652,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.15.post_attention_layernorm.weight,0.3419,0.0224,0.0762,0.5156,21.9318,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.16.self_attn.q_proj.weight,-0.0000,0.0185,-0.3809,0.4023,75.7802,16777216,12582912
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.16.self_attn.k_proj.weight,0.0000,0.0269,-0.3398,0.3633,55.0526,4194304,3145726
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.16.self_attn.v_proj.weight,0.0000,0.0096,-0.1367,0.0986,19.6230,4194304,3145727
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.16.self_attn.o_proj.weight,0.0000,0.0107,-0.4570,0.4824,43.7446,16777216,12582912
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.16.mlp.gate_proj.weight,-0.0000,0.0149,-0.3242,0.4863,113.9522,58720256,44040188
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.16.mlp.up_proj.weight,-0.0000,0.0120,-0.2676,0.2539,91.6169,58720256,44040192
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.16.mlp.down_proj.weight,-0.0000,0.0118,-0.8086,0.5938,90.5591,58720256,44040186
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.16.input_layernorm.weight,0.4291,0.0493,0.0864,0.9922,27.6412,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.16.post_attention_layernorm.weight,0.3608,0.0291,0.0811,0.4961,23.1695,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.17.self_attn.q_proj.weight,0.0000,0.0186,-0.1914,0.2070,76.1560,16777216,12582911
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.17.self_attn.k_proj.weight,0.0000,0.0269,-0.3613,0.3418,55.0406,4194304,3145726
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.17.self_attn.v_proj.weight,0.0000,0.0105,-0.0776,0.0693,21.5090,4194304,3145727
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.17.self_attn.o_proj.weight,0.0000,0.0111,-0.4688,0.4551,45.4120,16777216,12582910
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.17.mlp.gate_proj.weight,-0.0000,0.0150,-0.2930,0.3984,114.9926,58720256,44040186
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.17.mlp.up_proj.weight,-0.0000,0.0119,-0.3164,0.2637,91.3491,58720256,44040181
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.17.mlp.down_proj.weight,0.0000,0.0118,-0.6172,0.5703,90.5203,58720256,44040192
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.17.input_layernorm.weight,0.4462,0.0409,0.0918,0.9609,28.6784,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.17.post_attention_layernorm.weight,0.3732,0.0308,0.0674,0.4863,23.9649,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.18.self_attn.q_proj.weight,0.0000,0.0183,-0.2139,0.1914,74.9755,16777216,12582910
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.18.self_attn.k_proj.weight,-0.0000,0.0275,-0.2832,0.2773,56.3581,4194304,3145726
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.18.self_attn.v_proj.weight,0.0000,0.0096,-0.0781,0.0869,19.6500,4194304,3145728
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.18.self_attn.o_proj.weight,0.0000,0.0107,-0.2891,0.8281,43.6991,16777216,12582906
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.18.mlp.gate_proj.weight,-0.0000,0.0150,-0.5156,0.3984,115.2749,58720256,44040162
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.18.mlp.up_proj.weight,0.0000,0.0119,-0.2178,0.2363,90.9330,58720256,44040188
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.18.mlp.down_proj.weight,-0.0000,0.0118,-0.7891,0.4570,90.3082,58720256,44040184
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.18.input_layernorm.weight,0.4592,0.0404,0.0645,0.9961,29.5037,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.18.post_attention_layernorm.weight,0.3880,0.0366,0.0669,0.4453,24.9392,4096,4096
pruned,Llama-3.1-8b-Instruct,AST,25pct,model.layers.19.self_attn.q_proj.weight,-0.0000,0.0183,-0.2656,0.1973,74.8992,16777216,12582911
